subject,jumlah_tiket
salah nip ppk pada menu admin,1
Rekening Satker Pindah kementerian,1
PERMOHONAN SETUP REGISTER,1
cara mencari nrs pegawai,1
KOMPENSASI UTANG PAJAK KE NPWP YANG SUDAH DI HAPUS,1
masih ada kas di Bend. Pengeluaran di neraca saiba,1
ADK LPJ DESEMBER 2019 tertolak,1
Pembatalan Rencana Penarikan Dana (RPD),1
USERNAME_MASKED Aplikasi GPP Terpusat,1
Tutup periode adj 1 2019 sakti dakf dd,1
Menu Pendaftaran BPP Tidak Ada,1
SAKTI : Ubah tanggal SPMKP,1
Pergantian USERNAME_MASKED satker 634792 (KPPN Wonosari),1
Pengembalian kelebihan setoran TUP 2019,1
Nilai IKPA Indikator Rekon LPJ belum terupdate,1
Perbedaan Realisasi Anggaran Antara Sakti dan OmSPAN,1
Pendaftaran USERNAME_MASKED Satker Sekretariat Negara,1
HASIL PEMERIKSAAN KAS MASIH MUNCUL KUITANSI YANG BELUM DI SPM KAN,1
SPM-KP tertolak,1
Menu Penggantian USERNAME_MASKED,1
Perubahan nomenklatur satker LIPI,1
Tidak bisa di simpan SPP GUP Nihil di SAKTI,1
Permohonan Pergantian USERNAME_MASKED SAKTI,1
USERNAME_MASKED sakti tidak bisa login,1
Modul penerimaan,1
Perbaikan Tanggal DIPA 2020 pada Aplikasi SAKTI,1
Data Ketersediaan Dana,1
Ambil potongan pajak TA 2019 dari OM SPAN,1
permohonan pembuatan USERNAME_MASKED password OMSPAN satker STASIUN METEOROLOGI MARITIM AMBON? 436010,1
kill admin2 dan opr34 satker kantor pusat DJBC (410640),1
Permasalahan pada SPAN 2020,1
Cara memdapatkan USERNAME_MASKED password untuk masuk OMSPAN,1
Realisasi Penerimaan Pendapatan Per Akun Pada Span TA 2019 Tidak Sesuai,1
maksimal SPM GUP untuk Kartu kredit Pemerintah,1
Konfirmasi setoran,1
Bagaimana cara reset password akun Mpn g3,1
SAKTI: Kegagalan pendaftaran email sakti,1
Kwitansi belum dilakukan perekaman tetapi saldo sudah 0,1
Registrasi DIGIT,1
Mengkill user,1
konfirmasi penerimaan negara tidak berhasil,1
Daftar SP2D,1
Pembatalan SPM tetap Mempengaruhi Saldo,1
Permintaan Penghapusan PMRT KPPN PAINAN per 9 Januari 2020,1
mengubah jenis supplier pada adk supplier,1
Permohonan Perubahan Nama Supplier satker MtsN 2 Sekadau (680036),1
konsul hasil rekon desember 2019,1
Permohonan Penghapusan file PMRT,1
USERNAME_MASKED Web tingkat Eselon I dan Unit,1
Kesalahan Nama Penerima pada gaji terusan ke bendahara,1
sas 20 menu admin,1
Penambahan satker Kementerian Keuangan,1
Penggantian USERNAME_MASKED 2020,1
Perubahan Kasi PDMS (K4) Pada HAI-CSO KPPN Banyuwangi,1
Kendala Login e-Performance,1
Permintaan Akses (USERNAME_MASKED Password) Online Monitoring SPAN,1
Gagal Upload ADK LPJ,1
input penyerapan,1
Private Key DS tidak berfungsi setelah update,1
Bagaimana cara melakukan koreksi SPM GUP yang memuat akun belanja modal (53),1
Bukti Konversi Tidak Dapat Dicetak,1
Koreksi Penerimaan pada SPAN Production 2019,1
Permintaan Penghapusan PMRT pada Om span,1
Permohonan Batal Validai dan Batal Approve,1
Permohonan penggantian password OMSPAN,1
Tindak Lanjut Sensus BMN 2019 terkait Aset tetap belum dilakukan validasi dan approve,1
Penggantian USERNAME_MASKED SAKTI,1
Permintaan user,1
Push Data Bulan Desember 2019,1
Lanjutan Tiket 20200109-BXU0LN,1
Penyampaian Penggantian USERNAME_MASKED,1
Pembayaran Tunggakan 2019,1
Error Hasil Pengujian Gaji Satuan Kerja Hasil Likuidasi,1
Permasalahan Tanggal Perekaman pada SAKTI yang tidak sesuai,1
Penambahan Referensi Satker GPP Terpusat,1
Penghapusan data konfigurasi SAKTI web,1
Penatausahaan dan Monitoring Jaminan Pembayaran Akhir Tahun Anggaran,1
monitoring spm,1
Terkait pelaksanaan anggaran,1
Admin sakti terblokir,1
Rekon Gaji Indu Tertolak pada Aplikasi Gaji Terpusat,1
MPHLBJS belum muncul di excel hasil rekon,1
Revisi Anggaran TA 2020 Kewangan Kanwil DJPBN,1
Data akun belanja persediaan tidak muncul,1
Akun pembulatan gaji,1
Status Proses Error,1
Permohonan persetujuan e rekon satker 403521 KPPN KUNINGAN PENGELOLA PENYALURAN DANA ALOKASI KHUSUS FISIK DAN DANA DESA,1
Perbaikan Transaksi Penerimaan Tahun 2020,1
Pendaftaran USERNAME_MASKED Sebagai Eselon 1,1
SAKTI : Pengajuan SPMKP tanpa renkas,1
ADK Revisi SAKTI tidak terbentuk padahal proses berhasil,1
Permohonan USERNAME_MASKED Password OMSPAN,1
Permohonan Pembatalan Nomor Invoice SPM,1
Lupa Password Sakti,1
Batal definitif KDP dan ada KDP yang tidak bisa didefinitifkan.,1
Aplikasi POK 2020,1
Monitoring Penerimaan,1
